Area in km2 for individual Swiss glaciers
SGI-ID 1915  1916  1917  1918  1919  1920  1921  1922  1923  1924  1925  1926  1927  1928  1929  1930  1931  1932  1933  1934  1935  1936  1937  1938  1939  1940  1941  1942  1943  1944  1945  1946  1947  1948  1949  1950  1951  1952  1953  1954  1955  1956  1957  1958  1959  1960  1961  1962  1963  1964  1965  1966  1967  1968  1969  1970  1971  1972  1973  1974  1975  1976  1977  1978  1979  1980  1981  1982  1983  1984  1985  1986  1987  1988  1989  1990  1991  1992  1993  1994  1995  1996  1997  1998  1999  2000  2001  2002  2003  2004  2005  2006  2007  2008  2009  2010  2011  2012  2013  2014  2015  2016  2017  2018  2019  2020  2021  2022  2023  2024  
A10g-18   1.000078   1.004773   0.998582   0.984436   1.003851   1.012333   0.947716   0.950860   0.953376   0.962505   0.967188   0.973338   0.986040   0.934769   0.898675   0.891748   0.901024   0.873283   0.880243   0.865019   0.870129   0.876368   0.882686   0.872497   0.867987   0.882726   0.881757   0.856824   0.843931   0.830548   0.801961   0.788902   0.717545   0.740476   0.707711   0.667832   0.663672   0.639533   0.630284   0.627872   0.641501   0.639191   0.640645   0.621459   0.585628   0.586179   0.573755   0.569397   0.542922   0.508488   0.528525   0.548457   0.551865   0.560404   0.551150   0.550181   0.527940   0.517730   0.491653   0.498863   0.487726   0.476589   0.465451   0.454314   0.443177   0.432040   0.420903   0.409766   0.398629   0.387491   0.376354   0.365217   0.354080   0.342943   0.331806   0.320669   0.309531   0.298394   0.287257   0.276120   0.264983   0.253846   0.242709   0.231571   0.220434   0.209297   0.198160   0.187023   0.175886   0.164749   0.153611   0.142474   0.131337   0.120200   0.114793   0.112650   0.105371   0.099307   0.097373   0.093743   0.086878   0.083484   0.077099   0.069232   0.064798   0.060386   0.056655   0.043112   0.034011   0.027774
A10g-21   0.212585   0.214101   0.213030   0.209976   0.215109   0.217604   0.202447   0.203620   0.204643   0.207279   0.208829   0.210765   0.214263   0.202292   0.193976   0.192703   0.195368   0.189072   0.191162   0.187922   0.189581   0.191516   0.193466   0.191407   0.190720   0.194710   0.194873   0.189225   0.186515   0.183672   0.177078   0.174300   0.157413   0.163480   0.155937   0.146674   0.146039   0.140597   0.138728   0.138535   0.142291   0.142163   0.142924   0.138673   0.130270   0.130788   0.128107   0.127431   0.121318   0.113282   0.118612   0.123953   0.125168   0.127599   0.125683   0.125827   0.120746   0.118601   0.112570   0.114751   0.112603   0.110454   0.108306   0.106157   0.104009   0.101860   0.099711   0.097563   0.095414   0.093266   0.091117   0.088969   0.086820   0.084671   0.082523   0.080374   0.078226   0.076077   0.073929   0.071780   0.069631   0.067483   0.065334   0.063186   0.061037   0.058889   0.056740   0.054591   0.052443   0.050294   0.048146   0.045997   0.043849   0.041700   0.038616   0.037525   0.033338   0.029878   0.028920   0.026945   0.023032   0.021247   0.017691   0.013225   0.010913   0.008636   0.006761   0.000000   0.000000   0.000000
A10g-24   0.024290   0.024534   0.024504   0.024219   0.024897   0.025279   0.023629   0.023850   0.024054   0.024447   0.024714   0.025038   0.025527   0.024240   0.023370   0.023308   0.023704   0.023066   0.023392   0.023119   0.023403   0.023720   0.024034   0.023886   0.023893   0.024439   0.024541   0.023969   0.023750   0.023508   0.022799   0.022559   0.020655   0.021491   0.020699   0.019698   0.019703   0.019159   0.019020   0.019085   0.019631   0.019723   0.019906   0.019502   0.018552   0.018700   0.018446   0.018455   0.017786   0.016883   0.017630   0.018395   0.018626   0.018983   0.018822   0.018925   0.018388   0.018207   0.017548   0.017917   0.017734   0.017551   0.017368   0.017185   0.017002   0.016820   0.016637   0.016454   0.016271   0.016088   0.015905   0.015722   0.015539   0.015356   0.015173   0.014990   0.014807   0.014624   0.014441   0.014259   0.014076   0.013893   0.013710   0.013527   0.013344   0.013161   0.012978   0.012795   0.012612   0.012429   0.012246   0.012063   0.011880   0.011698   0.011515   0.011332   0.011149   0.010966   0.010783   0.010600   0.009373   0.008876   0.007788   0.006374   0.005666   0.004975   0.004374   0.001526   0.000000   0.000000
A10g-27   0.050582   0.050692   0.050432   0.049826   0.050517   0.050809   0.048340   0.048419   0.048475   0.048784   0.048923   0.049136   0.049570   0.047616   0.046226   0.045926   0.046239   0.045166   0.045385   0.044805   0.044968   0.045173   0.045375   0.044963   0.044758   0.045263   0.045182   0.044209   0.043704   0.043170   0.042017   0.041488   0.038725   0.039615   0.038352   0.036809   0.036609   0.035681   0.035291   0.035172   0.035685   0.035600   0.035634   0.034898   0.033439   0.033430   0.032894   0.032704   0.031622   0.030232   0.031004   0.031796   0.031896   0.032159   0.031750   0.031683   0.030785   0.030351   0.029299   0.029576   0.029151   0.028727   0.028302   0.027878   0.027454   0.027029   0.026605   0.026180   0.025756   0.025332   0.024907   0.024483   0.024059   0.023634   0.023210   0.022785   0.022361   0.021937   0.021512   0.021088   0.020663   0.020239   0.019815   0.019390   0.018966   0.018541   0.018117   0.017693   0.017268   0.016844   0.016420   0.015995   0.015571   0.015146   0.014722   0.014298   0.013873   0.013449   0.013024   0.012600   0.011142   0.010442   0.009134   0.007495   0.006589   0.005704   0.004918   0.001858   0.000000   0.000000
A12d-03   1.030044   1.036051   1.031898   1.022274   1.039795   1.047920   0.994158   0.998183   1.001634   1.010510   1.015727   1.021676   1.033759   0.991086   0.961451   0.956934   0.966019   0.943452   0.950769   0.938298   0.943766   0.950141   0.956770   0.949167   0.946605   0.960678   0.961366   0.941282   0.931096   0.920754   0.898415   0.888486   0.827523   0.847049   0.819411   0.785451   0.783258   0.762753   0.755975   0.754961   0.767267   0.765608   0.767768   0.751532   0.722231   0.723825   0.714687   0.711809   0.690145   0.661026   0.678944   0.696149   0.700323   0.709707   0.703237   0.703519   0.685089   0.677386   0.655368   0.662200   0.651900   0.641600   0.631300   0.621000   0.610700   0.600400   0.590100   0.579800   0.569500   0.559200   0.548900   0.538600   0.528300   0.518000   0.507700   0.497400   0.487100   0.476800   0.466500   0.456200   0.445900   0.435600   0.425300   0.415000   0.404700   0.394400   0.384100   0.373800   0.363500   0.353200   0.342900   0.332600   0.322300   0.312000   0.301700   0.291400   0.281100   0.270800   0.260500   0.250200   0.239900   0.232839   0.219235   0.202668   0.193370   0.184085   0.176662   0.147467   0.127349   0.113794
A12d-08   0.125903   0.126481   0.125902   0.124848   0.126568   0.127276   0.121439   0.121748   0.121996   0.122802   0.123230   0.123689   0.124850   0.120183   0.116911   0.116318   0.117152   0.114627   0.115291   0.113789   0.114233   0.114768   0.115344   0.114406   0.114014   0.115397   0.115369   0.113125   0.111894   0.110670   0.108274   0.107109   0.100515   0.102357   0.099280   0.095530   0.095197   0.092860   0.092032   0.091801   0.092936   0.092587   0.092678   0.090797   0.087652   0.087701   0.086663   0.086227   0.083859   0.080683   0.082403   0.084003   0.084329   0.085255   0.084494   0.084409   0.082357   0.081441   0.079011   0.079567   0.078533   0.077500   0.076467   0.075433   0.074400   0.073367   0.072333   0.071300   0.070267   0.069233   0.068200   0.067167   0.066133   0.065100   0.064067   0.063033   0.062000   0.060967   0.059933   0.058900   0.057867   0.056833   0.055800   0.054767   0.053733   0.052700   0.051667   0.050633   0.049600   0.048567   0.047533   0.046500   0.045467   0.044433   0.043400   0.042367   0.041333   0.040300   0.039267   0.038233   0.037200   0.035365   0.031935   0.027838   0.025524   0.023223   0.021445   0.014079   0.009076   0.005883
A12d-10   0.602532   0.605645   0.603380   0.599635   0.607250   0.610445   0.585610   0.587274   0.588665   0.592373   0.594506   0.596546   0.601860   0.581951   0.568109   0.565911   0.569770   0.559126   0.562335   0.555837   0.557972   0.560484   0.563261   0.559447   0.558066   0.564428   0.564709   0.555332   0.550151   0.545109   0.535500   0.530788   0.502439   0.510245   0.497051   0.480900   0.479831   0.469741   0.466468   0.465720   0.470729   0.469241   0.469838   0.461715   0.448634   0.449126   0.445103   0.443428   0.433564   0.420085   0.427591   0.434381   0.436093   0.440668   0.437817   0.437729   0.429089   0.425437   0.415118   0.417602   0.412705   0.407807   0.402910   0.398012   0.393114   0.388217   0.383319   0.378421   0.373524   0.368626   0.363729   0.358831   0.353933   0.349036   0.344138   0.339240   0.334343   0.329445   0.324548   0.319650   0.314752   0.309855   0.304957   0.300060   0.295162   0.290264   0.285367   0.280469   0.275571   0.270674   0.265776   0.260879   0.255981   0.251083   0.246186   0.241288   0.236390   0.231493   0.226595   0.221698   0.216800   0.210819   0.199522   0.186113   0.178439   0.170708   0.164925   0.140988   0.124037   0.112906
A12e-04   3.354822   3.359445   3.344971   3.325485   3.345718   3.350405   3.255999   3.255462   3.253927   3.260524   3.261586   3.262215   3.274397   3.197726   3.142500   3.128418   3.135559   3.091646   3.096590   3.067252   3.068400   3.070833   3.074221   3.054478   3.043322   3.059267   3.053975   3.014731   2.990159   2.966147   2.926238   2.903429   2.796593   2.817646   2.764746   2.701282   2.691357   2.649411   2.631713   2.622921   2.634010   2.622420   2.618148   2.583487   2.531354   2.526954   2.506697   2.494689   2.453801   2.399960   2.420296   2.438004   2.438032   2.448141   2.432098   2.425729   2.389235   2.370418   2.327943   2.330619   2.308738   2.286857   2.264976   2.243095   2.221214   2.199333   2.177452   2.155571   2.133690   2.111810   2.089929   2.068048   2.046167   2.024286   2.002405   1.980524   1.958643   1.936762   1.914881   1.893000   1.871119   1.849238   1.827357   1.805476   1.783595   1.761714   1.739833   1.717952   1.696071   1.674190   1.652310   1.630429   1.608548   1.586667   1.564786   1.542905   1.521024   1.499143   1.477262   1.455381   1.433500   1.401574   1.346783   1.282957   1.243200   1.204130   1.173256   1.064594   0.984606   0.930336
A12e-06   0.133086   0.134728   0.134159   0.133091   0.136476   0.138076   0.128682   0.129694   0.130595   0.132414   0.133612   0.134735   0.137216   0.129700   0.124583   0.124060   0.125932   0.122066   0.123692   0.121413   0.122590   0.123912   0.125358   0.124172   0.123964   0.126868   0.127339   0.123966   0.122222   0.120552   0.117167   0.115642   0.105027   0.108396   0.103564   0.097630   0.097549   0.093942   0.092998   0.093022   0.095241   0.094935   0.095455   0.092630   0.087997   0.088503   0.087289   0.086947   0.083511   0.078723   0.081930   0.084839   0.085828   0.087971   0.087204   0.087485   0.084480   0.083396   0.079764   0.081012   0.079524   0.078036   0.076548   0.075060   0.073571   0.072083   0.070595   0.069107   0.067619   0.066131   0.064643   0.063155   0.061667   0.060179   0.058690   0.057202   0.055714   0.054226   0.052738   0.051250   0.049762   0.048274   0.046786   0.045298   0.043810   0.042321   0.040833   0.039345   0.037857   0.036369   0.034881   0.033393   0.031905   0.030417   0.028929   0.027440   0.025952   0.024464   0.022976   0.021488   0.020000   0.019225   0.017683   0.015849   0.014827   0.013837   0.013124   0.009730   0.007392   0.005975
A12e-07   0.102654   0.104160   0.104387   0.104420   0.106831   0.108249   0.103535   0.104655   0.105712   0.107267   0.108487   0.109632   0.111576   0.107880   0.105538   0.105805   0.107407   0.105762   0.107241   0.106454   0.107665   0.108955   0.110329   0.110205   0.110648   0.112867   0.113713   0.112346   0.111883   0.111480   0.110160   0.109847   0.104151   0.106588   0.104290   0.101314   0.101827   0.100209   0.100205   0.100766   0.102582   0.102914   0.103756   0.102605   0.100419   0.101267   0.101119   0.101457   0.099949   0.097577   0.100013   0.102245   0.103394   0.105267   0.105383   0.106109   0.104833   0.104737   0.103057   0.104340   0.104281   0.104221   0.104162   0.104102   0.104043   0.103983   0.103924   0.103864   0.103805   0.103745   0.103686   0.103626   0.103567   0.103507   0.103448   0.103388   0.103329   0.103269   0.103210   0.103150   0.103090   0.103031   0.102971   0.102912   0.102852   0.102793   0.102733   0.102674   0.102614   0.102555   0.102495   0.102436   0.102376   0.102317   0.102257   0.102198   0.102138   0.102079   0.102019   0.101960   0.101900   0.100268   0.096195   0.091208   0.088692   0.086304   0.084825   0.074906   0.068003   0.064009
