Mass balance in m w.e. a-1 for Swiss catchment
Year  Switzerland  Rhone  Tessin/Simplon  Poschiavo/Bergell  Engadin  Alpenrhein  Thur  Aare  Saane  Reuss  Linth  
1973   -0.897   -0.864   -0.599   -1.184   -1.163   -1.038   -0.780   -0.863   -0.939   -0.912   -0.931
1974    0.167    0.149    0.184   -0.046    0.191    0.199    0.477    0.158    0.190    0.301    0.393
1975    0.110   -0.058    0.169    0.012    0.206    0.369    0.694    0.309   -0.026    0.587    0.710
1976   -0.552   -0.558   -0.422   -0.753   -0.572   -0.504   -0.233   -0.608   -0.568   -0.425   -0.289
1977    1.052    1.206    1.581    0.526    0.442    0.451    0.690    1.101    1.052    0.755    0.597
1978    0.858    0.877    1.099    0.586    0.701    0.747    1.007    0.877    0.847    0.886    0.907
1979   -0.430   -0.421   -0.365   -0.693   -0.500   -0.436   -0.167   -0.458   -0.372   -0.351   -0.265
1980    0.670    0.772    0.902    0.356    0.429    0.549    0.815    0.504    0.833    0.526    0.792
1981    0.241    0.358    0.405   -0.090    0.052    0.095    0.338    0.063    0.424    0.049    0.219
1982   -0.817   -0.808   -0.819   -1.149   -0.991   -0.875   -0.608   -0.762   -0.758   -0.733   -0.846
1983   -0.574   -0.588   -0.557   -0.864   -0.729   -0.589   -0.294   -0.524   -0.554   -0.417   -0.361
1984    0.189    0.065    0.206    0.137    0.444    0.462    0.757    0.269    0.104    0.522    0.637
1985   -0.383   -0.485   -0.291   -0.399   -0.096   -0.154    0.094   -0.259   -0.437   -0.266   -0.336
1986   -0.731   -0.655   -0.610   -0.926   -0.660   -0.946   -0.615   -0.786   -0.624   -0.988   -1.153
1987   -0.626   -0.693   -0.745   -0.979   -0.823   -0.501   -0.223   -0.521   -0.554   -0.263   -0.102
1988   -0.343   -0.372   -0.519   -0.644   -0.423   -0.169    0.132   -0.375   -0.235   -0.072    0.151
1989   -0.654   -0.656   -0.607   -0.876   -0.637   -0.661   -0.339   -0.654   -0.616   -0.604   -0.588
1990   -1.046   -0.947   -1.249   -1.403   -1.073   -1.123   -0.787   -1.223   -0.679   -1.182   -1.113
1991   -1.443   -1.460   -1.333   -1.624   -1.436   -1.643   -1.318   -1.275   -1.521   -1.483   -1.715
1992   -0.606   -0.433   -0.185   -0.783   -0.814   -1.220   -1.006   -0.738   -0.375   -1.048   -1.232
1993   -0.138   -0.010   -0.078   -0.695   -0.583   -0.336   -0.094   -0.264   -0.002   -0.246   -0.172
1994   -0.804   -0.743   -0.394   -0.753   -0.678   -1.031   -0.744   -0.947   -0.609   -0.984   -0.994
1995    0.086    0.071    0.184   -0.226   -0.111    0.103    0.375    0.136    0.020    0.251    0.324
1996   -0.273   -0.216   -0.452   -0.764   -0.527   -0.420   -0.097   -0.209   -0.096   -0.367   -0.493
1997   -0.538   -0.489   -0.596   -0.947   -0.762   -0.663   -0.359   -0.525   -0.398   -0.569   -0.618
1998   -1.578   -1.635   -1.432   -1.612   -1.408   -1.391   -1.031   -1.619   -1.538   -1.370   -1.200
1999   -0.341   -0.312   -0.777   -1.142   -0.898   -0.208    0.103   -0.316   -0.121   -0.079    0.124
2000   -0.402   -0.379   -0.679   -1.267   -0.986   -0.133    0.190   -0.398   -0.443   -0.122    0.116
2001    0.190    0.179    0.483    0.300    0.471    0.127    0.458    0.146    0.287    0.139    0.096
2002   -0.425   -0.242   -0.386   -1.033   -0.928   -0.971   -0.740   -0.448   -0.264   -0.849   -1.147
2003   -2.107   -2.012   -2.197   -2.768   -2.626   -2.287   -2.012   -2.124   -1.994   -2.149   -2.146
2004   -0.635   -0.694   -0.737   -0.979   -0.655   -0.249    0.142   -0.648   -0.617   -0.315   -0.077
2005   -1.012   -0.925   -1.208   -1.698   -1.465   -1.064   -0.753   -1.055   -0.840   -1.037   -1.003
2006   -1.330   -1.228   -1.519   -2.020   -1.815   -1.331   -1.031   -1.459   -1.080   -1.312   -1.136
2007   -0.455   -0.341   -0.667   -1.386   -1.256   -0.763   -0.740   -0.409   -0.271   -0.406   -0.610
2008   -1.035   -0.991   -0.813   -1.235   -1.036   -1.045   -0.609   -1.134   -0.940   -1.135   -1.106
2009   -0.903   -0.894   -0.316   -0.685   -0.669   -1.184   -0.938   -0.936   -0.957   -1.046   -1.182
2010   -0.709   -0.764   -0.746   -1.010   -0.769   -0.620   -0.305   -0.579   -0.414   -0.509   -0.547
2011   -1.630   -1.528   -1.347   -1.896   -1.789   -1.894   -1.793   -1.754   -1.687   -1.850   -1.915
2012   -1.060   -1.021   -1.089   -1.505   -1.392   -1.142   -0.895   -1.080   -0.828   -0.984   -0.823
2013   -0.261   -0.200   -0.100   -0.774   -0.638   -0.332   -0.122   -0.326   -0.030   -0.241   -0.099
2014   -0.346   -0.317   -0.108    0.157    0.203   -0.657   -0.604   -0.545   -0.270   -0.519   -0.401
2015   -1.281   -1.224   -1.143   -1.521   -1.417   -1.447   -1.130   -1.390   -1.669   -1.260   -1.264
2016   -0.740   -0.739   -1.019   -1.060   -0.920   -0.823   -0.458   -0.645    0.210   -0.728   -0.578
2017   -1.588   -1.589   -1.472   -1.948   -1.805   -1.525   -1.249   -1.612   -1.701   -1.390   -1.230
2018   -1.411   -1.252   -1.285   -2.156   -2.030   -1.710   -1.474   -1.613   -1.613   -1.554   -1.390
2019   -1.023   -0.977   -0.746   -1.788   -1.623   -1.001   -0.665   -1.006   -1.210   -0.896   -1.068
2020   -0.885   -0.841   -0.556   -1.153   -1.024   -1.010   -0.810   -0.983   -1.151   -0.858   -0.929
2021   -0.534   -0.524   -0.599   -0.941   -0.810   -0.653   -0.306   -0.478   -0.227   -0.425   -0.392
2022   -3.217   -3.179   -3.432   -3.830   -3.676   -3.404   -3.650   -3.196   -3.472   -3.013   -3.134
2023   -2.328   -2.235   -2.654   -3.220   -3.018   -2.616   -2.827   -2.305   -1.873   -2.378   -2.440
2024   -1.187   -1.142   -0.956   -1.425   -1.295   -1.564   -1.533   -1.195   -1.072   -1.270   -1.547
