balise,date,x,y,z,length_in_ice,length_out_ice,observations
1new,29.06.2025,2560991,1112814,2916,400,0, snow depth 110cm (we dug a pit to drill the ice directly)
1,07.08.2025,-,-,-,340,60,snow free (obs C. Simeon)
1,24.08.2025,-,-,-,230,170,obs. unknown
1,17.09.2025,-,-,-,170,230, obs. unknon
